ФИО,Год,Специальность,Средний балл ЦЭ/ЦТ,Средний балл аттестата,Средний балл при поступлении,Адрес,Телефон,Форма обучения,Математика,Физика,Химия,История,Обществознание
Силантий Викентьевич Пестов,2024,История Беларуси,62.4,6.5,34.4,"с. Черкесск, наб. Лермонтова, д. 82, 729446",8 823 308 38 14,Очная,53,41,50,90,78
Устинов Фирс Аксёнович,2022,Физика,82.2,8.5,45.4,"ст. Кисловодск, пр. Ветеранов, д. 24 стр. 579, 593946",+7 579 137 7639,Заочная,99,73,77,89,73
Ильина Любовь Ефимовна,2025,Химия,74.8,8.2,41.5,"г. Александровск-Сахалинский, пер. Большой, д. 905 стр. 6/4, 366288",8 (738) 088-55-35,Заочная,54,66,90,73,91
Светозар Ефимович Николаев,2022,Химия,71.4,8.5,40.0,"п. Нижний Тагил, ул. Ключевая, д. 74 стр. 2/1, 918610",+7 242 593 27 78,Заочная,72,63,54,99,69
Вера Тарасовна Большакова,2023,Математика,60.2,7.8,34.0,"с. Ульяновск, наб. О.Кошевого, д. 94 к. 23, 305047",+7 (355) 336-72-12,Вечерняя,90,56,44,68,43
Юлия Сергеевна Зыкова,2022,Физика,63.8,7.8,35.8,"клх Балтийск, ул. Дзержинского, д. 24, 057341",+71987729908,Очная,56,49,56,99,59
Азарий Авдеевич Лыткин,2025,Физика,60.6,6.8,33.7,"с. Елатьма, ул. Космическая, д. 19 к. 599, 618529",8 537 278 8422,Заочная,73,45,92,41,52
Васильева Алла Борисовна,2024,Физика,79.0,6.5,42.8,"к. Новороссийка, пр. Дзержинского, д. 32, 977324",+7 552 590 5527,Заочная,82,87,50,90,86
Стрелков Милан Ильич,2022,История Беларуси,72.4,8.8,40.6,"с. Норильск, пер. Покровский, д. 614 к. 3/6, 951324",+7 (746) 785-13-12,Очная,94,55,70,50,93
Шарапов Евграф Германович,2024,Математика,64.8,9.6,37.2,"г. Новочеркасск, ул. Тополиная, д. 76, 108556",84119476826,Очная,43,79,43,95,64
Акулина Феликсовна Калашникова,2022,Химия,67.2,8.4,37.8,"к. Краснокамск, ул. Полевая, д. 91, 606961",83004607433,Заочная,42,66,68,71,89
тов. Лукин Венедикт Ефимьевич,2023,История Беларуси,61.8,7.1,34.4,"д. Губкин, пер. Толбухина, д. 597, 548554",+7 879 209 5733,Вечерняя,90,58,60,44,57
Баранов Владимир Ефимович,2024,Математика,50.0,7.8,28.9,"с. Шатура, алл. Петровская, д. 9/3, 174385",8 (777) 469-71-15,Заочная,61,60,45,40,44
Милица Кузьминична Федосеева,2022,Биология,72.8,7.3,40.0,"к. Анапа, ул. Совхозная, д. 9/9 стр. 361, 813907",8 576 793 0182,Заочная,65,85,73,88,53
Зайцева Иванна Борисовна,2021,История Беларуси,72.2,8.5,40.4,"с. Сочи, ш. Крылова, д. 5, 174523",+7 645 181 92 60,Вечерняя,66,48,65,96,86
Туров Лев Феофанович,2021,Физика,83.8,6.2,45.0,"п. Ясный (Оренб.), алл. Цветочная, д. 78, 383154",8 923 217 82 66,Заочная,86,95,69,82,87
Спиридон Авдеевич Блохин,2024,Биология,63.0,8.4,35.7,"ст. Углич, ул. Мелиоративная, д. 8, 055978",8 (169) 165-83-26,Очная,65,75,40,47,88
Екатерина Васильевна Игнатьева,2022,Физика,77.4,6.9,42.2,"к. Объячево, пр. Вавилова, д. 223, 342239",8 216 034 2088,Вечерняя,91,54,86,95,61
Уваров Никодим Устинович,2025,Биология,57.2,9.0,33.1,"к. Обоянь, пер. Болотный, д. 598 стр. 29, 551801",8 808 451 46 49,Очная,67,62,53,63,41
Мстислав Викентьевич Ширяев,2024,Биология,76.4,8.7,42.6,"д. Кисловодск, бул. Заовражный, д. 705 стр. 147, 516779",+7 (490) 763-8845,Заочная,53,98,95,90,46
Парамон Фёдорович Дорофеев,2022,Химия,82.8,6.4,44.6,"г. Шумиха, пер. Станционный, д. 3/7 стр. 899, 148519",+7 (517) 828-2168,Очная,62,85,82,86,99
Лебедева Глафира Кирилловна,2022,Биология,78.4,6.4,42.4,"г. Кяхта, бул. Ольховый, д. 9 стр. 7/4, 894748",8 (499) 476-30-83,Очная,97,77,74,90,54
Прохор Владиленович Кулаков,2022,Математика,72.8,7.3,40.0,"ст. Верхотурье, алл. Пригородная, д. 7 стр. 645, 870069",8 165 516 13 10,Вечерняя,94,76,67,49,78
Ульян Адрианович Кулаков,2021,История Беларуси,70.2,9.6,39.9,"к. Кунгур, пр. Крайний, д. 6/8 стр. 131, 560617",+7 917 256 84 60,Очная,78,61,65,83,64
Галина Романовна Кабанова,2023,Химия,51.4,8.6,30.0,"д. Урюпинск, пер. Кубанский, д. 8, 262597",81539052732,Вечерняя,59,64,43,49,42
Никифорова Глафира Руслановна,2025,История Беларуси,73.0,8.3,40.6,"д. Курганинск, пр. Сосновый, д. 82 к. 7, 332789",87927816748,Заочная,57,86,75,86,61
Юлия Леонидовна Селиверстова,2023,Биология,71.0,7.5,39.2,"к. Вытегра, пр. Пионерский, д. 8/1 стр. 23, 087866",+76373643169,Вечерняя,47,79,88,83,58
Вячеслав Антипович Тихонов,2025,Биология,70.0,7.0,38.5,"к. Сызрань, наб. Лазурная, д. 4/3 к. 4, 899342",+7 232 034 31 25,Очная,76,45,91,65,73
Юрий Вячеславович Филиппов,2022,Биология,79.8,6.9,43.4,"г. Осташков, пер. Сурикова, д. 2, 714472",+71200885758,Вечерняя,98,84,45,76,96
София Олеговна Шарапова,2024,Физика,61.0,8.0,34.5,"п. Северобайкальск, ул. Свердлова, д. 8 стр. 4/1, 909498",+70544000898,Вечерняя,61,60,45,45,94
Всемил Игоревич Селезнев,2023,Химия,64.2,9.6,36.9,"с. Октябрьское (Хант.), ш. Кутузова, д. 662 стр. 38, 323933",8 (349) 554-6920,Очная,69,50,69,70,63
Молчанов Лаврентий Евстигнеевич,2024,Математика,75.0,8.8,41.9,"с. Губкинский, бул. Войкова, д. 1 к. 747, 783581",8 647 926 64 85,Заочная,94,42,90,70,79
Алевтина Эльдаровна Русакова,2025,Физика,55.6,9.9,32.8,"с. Махачкала, ул. Советская, д. 92 стр. 6, 267413",8 756 943 74 28,Очная,63,70,45,41,59
Аркадий Архипович Котов,2025,Химия,64.6,8.0,36.3,"п. Можга, ш. Халтурина, д. 113 стр. 5/2, 587950",8 (278) 454-1814,Заочная,43,54,45,93,88
Виктор Ярославович Виноградов,2023,Физика,71.6,8.1,39.8,"клх Усть-Джегута, ш. Волкова, д. 9/2 стр. 56, 042018",8 313 650 49 14,Очная,77,90,96,41,54
Надежда Валериевна Панфилова,2021,История Беларуси,73.2,6.7,40.0,"к. Североморск, наб. Орловская, д. 5/1 к. 720, 321296",8 004 680 14 27,Заочная,65,90,84,83,44
Кузнецова Дарья Владимировна,2021,Математика,65.0,8.9,37.0,"д. Борзя, бул. Набережный, д. 3/3, 017812",+7 (655) 062-4604,Заочная,93,43,58,59,72
Комиссаров Эраст Данилович,2023,Математика,59.0,7.2,33.1,"г. Кош-Агач, алл. Высотная, д. 784 к. 24, 594969",8 (376) 377-2320,Очная,51,86,40,65,53
Андреев Ладимир Филимонович,2022,Физика,67.0,8.4,37.7,"к. Кингисепп, пер. Запрудный, д. 590, 591675",+7 (156) 064-43-13,Заочная,76,50,75,52,82
Яковлев Глеб Жанович,2022,Математика,64.4,6.3,35.4,"клх Урай, пер. Монтажников, д. 900 стр. 27, 208207",8 243 723 72 93,Заочная,45,89,95,49,44
Селиван Елизарович Игнатьев,2022,Биология,59.2,6.4,32.8,"д. Йошкар-Ола, ул. Сельская, д. 69, 231724",83676064732,Заочная,83,41,52,79,41
Прохоров Болеслав Андреевич,2025,Физика,55.6,7.9,31.8,"к. Химки, ш. 60 лет СССР, д. 65 к. 52, 349157",8 891 763 91 16,Заочная,76,48,56,48,50
Евфросиния Романовна Ермакова,2021,Биология,76.8,9.7,43.2,"г. Верхний Уфалей, ш. Сплавное, д. 1, 734881",+7 950 318 3210,Вечерняя,77,94,74,69,70
Милица Феликсовна Маслова,2021,Химия,83.2,8.9,46.1,"п. Объячево, пер. Севастопольский, д. 5 к. 2/9, 345413",8 (319) 489-67-76,Заочная,99,83,89,53,92
Евгения Максимовна Третьякова,2023,Математика,64.0,9.7,36.8,"д. Воскресенск, ул. Л.Толстого, д. 1/3, 487072",+7 248 983 01 90,Очная,48,73,51,74,74
Молчанова Надежда Феликсовна,2021,История Беларуси,65.0,9.2,37.1,"с. Тулун, пер. Станиславского, д. 125 стр. 927, 341455",+7 272 742 64 08,Заочная,61,99,68,47,50
Комарова Раиса Натановна,2023,Биология,71.0,6.7,38.8,"к. Городовиковск, ш. Щетинкина, д. 8/2 к. 2, 858407",+7 787 425 7835,Вечерняя,53,99,69,74,60
Любовь Наумовна Афанасьева,2025,Физика,63.4,7.3,35.4,"с. Тутаев, ш. Красина, д. 97 стр. 609, 372940",8 (749) 008-7758,Заочная,58,98,53,65,43
Бобров Будимир Алексеевич,2022,Биология,65.6,7.8,36.7,"п. Нягань, ул. Ясная, д. 4 стр. 4, 876366",8 969 071 3746,Заочная,81,64,57,79,47
Тетерина Елизавета Кирилловна,2021,История Беларуси,72.6,9.0,40.8,"к. Верхоянск, ул. Азина, д. 324 стр. 1, 455840",+7 (957) 103-86-32,Заочная,53,71,90,77,72
Элеонора Ивановна Харитонова,2024,Физика,63.6,7.6,35.6,"ст. Инта, алл. Инженерная, д. 6/9 к. 827, 028959",8 208 410 2482,Очная,54,72,64,56,72
Гордеева Прасковья Тимофеевна,2021,Математика,68.8,8.5,38.6,"г. Великий Устюг, пер. Главный, д. 8 стр. 1, 339079",+7 338 611 23 23,Заочная,41,53,92,79,79
Быкова Кира Андреевна,2023,Биология,53.6,8.9,31.2,"д. Кетченеры, бул. Колхозный, д. 6 стр. 50, 975703",8 635 215 9593,Заочная,90,45,45,42,46
Веселов Гаврила Бенедиктович,2024,Физика,76.0,8.0,42.0,"п. Любань, пр. Николаева, д. 8/3 стр. 37, 089792",8 574 363 72 76,Вечерняя,81,91,54,86,68
Венедикт Вячеславович Смирнов,2025,Математика,71.2,6.6,38.9,"клх Лабинск, ш. 9 мая, д. 3/7, 632819",+7 (157) 054-8825,Заочная,69,78,66,75,68
Ангелина Алексеевна Жданова,2023,Физика,76.0,6.1,41.0,"с. Александровск, наб. Молодежная, д. 27, 341836",+7 603 742 33 51,Заочная,72,76,66,94,72
Кононов Виктор Виленович,2022,Физика,58.6,9.0,33.8,"п. Касимов, наб. Покровская, д. 275 к. 7, 617812",8 231 357 47 03,Заочная,61,41,49,44,98
Архип Ануфриевич Иванов,2023,Физика,75.6,9.4,42.5,"г. Буйнакск, наб. Совхозная, д. 892 к. 4, 315648",8 551 067 64 95,Вечерняя,93,77,52,70,86
Агафья Руслановна Белякова,2021,Биология,74.2,8.2,41.2,"д. Цимлянск, алл. Тракторная, д. 2/6, 215977",84827962624,Заочная,63,91,95,54,68
Селиверстов Мстислав Ерофеевич,2024,Биология,66.4,8.9,37.7,"клх Тосно, алл. Надежды, д. 8, 037758",+7 876 751 4517,Заочная,68,86,43,51,84
Овчинников Любомир Ерофеевич,2023,Математика,80.0,8.9,44.4,"с. Урай, ул. Нахимова, д. 36 стр. 69, 439962",8 037 661 6061,Заочная,70,90,90,75,75
Дмитрий Валерьянович Лыткин,2025,Физика,53.6,7.4,30.5,"ст. Ишим, ул. Широкая, д. 44 к. 4, 124026",8 214 329 70 24,Вечерняя,66,44,59,50,49
Ия Михайловна Кузнецова,2024,Химия,61.0,9.8,35.4,"к. Вилюйск, алл. Кольцова, д. 5/1 стр. 6, 645764",8 (073) 948-69-68,Вечерняя,45,47,62,86,65
Синклитикия Андреевна Григорьева,2023,Математика,60.8,8.4,34.6,"п. Ковров, ул. Овражная, д. 8/1 к. 71, 060911",+74372783462,Заочная,51,65,52,79,57
Галкин Рюрик Ефремович,2022,Математика,79.4,6.4,42.9,"клх Невинномысск, пер. Грибоедова, д. 2/5 стр. 6, 413748",8 (675) 236-79-09,Очная,86,79,99,82,51
Авдеев Евсей Терентьевич,2021,Химия,69.0,8.8,38.9,"д. Кировск (Мурм.), алл. Славянская, д. 56 стр. 381, 940197",+7 008 402 18 72,Очная,87,43,44,95,76
Трифон Ефремович Лукин,2025,Биология,80.6,6.3,43.4,"клх Химки, ул. Казанская, д. 3/6, 833556",+74082082131,Очная,81,88,67,70,97
Клавдия Оскаровна Савельева,2023,Биология,74.0,9.7,41.8,"п. Туапсе, бул. Ермака, д. 889 к. 38, 949835",+7 (901) 800-36-78,Заочная,90,68,53,79,80
Епифан Фёдорович Мясников,2021,Физика,64.6,6.7,35.6,"г. Городовиковск, наб. Кузнецкая, д. 60 стр. 8, 333917",+70607846904,Заочная,62,40,85,76,60
Фёкла Григорьевна Орехова,2022,Физика,73.2,9.5,41.4,"д. Глазов, пр. Краснознаменный, д. 86 стр. 2/1, 843068",+70744880555,Заочная,75,93,62,96,40
Кириллов Демьян Игнатьевич,2024,Химия,75.4,7.5,41.4,"клх Оленегорск (Якут.), пр. Кирова, д. 8, 612392",+7 876 933 52 00,Очная,94,90,79,54,60
Лазарев Адам Арсенович,2025,История Беларуси,75.2,6.0,40.6,"к. Петрозаводск, пер. Поселковый, д. 800, 292316",+7 557 743 1039,Вечерняя,92,48,49,91,96
Носков Алексей Авдеевич,2025,Биология,74.8,9.7,42.2,"к. Нефтегорск (Самар.), бул. Боровой, д. 95 к. 81, 053132",8 (060) 189-05-22,Заочная,80,74,91,64,65
Киселева Агафья Петровна,2022,История Беларуси,56.6,9.7,33.2,"ст. Краснокамск, пер. Каштановый, д. 2 стр. 2/6, 323065",8 (492) 956-5956,Очная,41,46,57,66,73
Агап Фокич Ефимов,2024,Математика,90.2,7.0,48.6,"п. Беслан, ш. Медицинское, д. 55 стр. 98, 133462",8 633 936 3167,Вечерняя,82,98,83,98,90
Дорофеев Фадей Власович,2023,Физика,67.6,9.7,38.6,"с. Волгоград, ш. Литейное, д. 89 к. 65, 460787",+7 (450) 237-9842,Заочная,64,46,91,45,92
Котов Назар Захарьевич,2021,Химия,72.8,6.1,39.4,"п. Пушкин, пер. Высоцкого, д. 4/3 стр. 368, 289027",+7 286 818 3247,Очная,88,68,82,61,65
Медведев Фирс Георгиевич,2024,Физика,61.8,7.8,34.8,"клх Тверь, ул. Кубанская, д. 608, 214477",8 700 543 21 41,Заочная,60,88,46,56,59
Терентий Валерианович Лыткин,2023,Химия,71.8,8.0,39.9,"с. Мытищи, пр. Социалистический, д. 586 к. 851, 006437",+70669889170,Заочная,59,93,61,67,79
Смирнов Филипп Валентинович,2025,Физика,58.8,7.7,33.2,"п. Нижневартовск, пер. Лунный, д. 3, 444704",8 622 252 3252,Вечерняя,40,71,52,69,62
Логинова Евфросиния Владиславовна,2021,Математика,72.2,8.5,40.4,"с. Кызыл, ул. Шевченко, д. 63 стр. 17, 660302",+7 020 759 64 19,Очная,95,58,71,69,68
Анна Тимофеевна Дмитриева,2023,Физика,65.8,6.3,36.0,"с. Заводоуковск, ш. Садовое, д. 94 стр. 1, 919917",8 (979) 389-2711,Вечерняя,68,69,55,79,58
Сысоева Анжела Архиповна,2024,Химия,71.8,8.1,39.9,"с. Ардон, бул. Школьный, д. 1 стр. 560, 977803",8 878 012 4066,Заочная,53,90,86,89,41
Евсеев Аггей Харитонович,2023,История Беларуси,82.6,6.6,44.6,"к. Агинское (Забайк.), пер. Вокзальный, д. 10, 299989",81440546845,Вечерняя,88,89,69,77,90
Модест Чеславович Федотов,2024,Физика,65.4,9.0,37.2,"п. Миасс, алл. Березовая, д. 9/4, 409870",83358761755,Вечерняя,40,47,68,94,78
Евдокия Сергеевна Лихачева,2025,Биология,62.8,7.6,35.2,"к. Сладково, пр. Ольховый, д. 2 к. 8/5, 463331",8 (935) 755-69-51,Очная,49,49,58,85,73
Яков Артемьевич Третьяков,2024,Биология,76.6,9.5,43.0,"г. Приозерск, ш. Шолохова, д. 9, 709959",8 (994) 588-7509,Заочная,62,94,67,71,89
Аверьян Харитонович Исаков,2024,Математика,63.8,6.9,35.4,"клх Буйнакск, пер. Степана Разина, д. 182 стр. 464, 535867",+79480560473,Вечерняя,47,40,96,94,42
Федосий Филимонович Осипов,2023,Биология,84.0,8.3,46.2,"г. Джубга, алл. Черноморская, д. 731 к. 5/9, 201935",8 (450) 855-20-74,Очная,98,47,93,96,86
Бирюкова Ия Рубеновна,2022,Химия,72.4,6.4,39.4,"с. Лодейное Поле, бул. Максима Горького, д. 195 стр. 6, 262727",8 938 694 28 46,Заочная,90,72,67,86,47
Назар Артемьевич Шаров,2025,История Беларуси,70.6,9.2,39.9,"ст. Курчатов, пер. Новоселов, д. 33 стр. 741, 466848",81119747857,Заочная,71,63,53,71,95
Иванова Любовь Георгиевна,2022,Физика,71.6,6.8,39.2,"п. Шелехов, ул. Лесозаводская, д. 29, 766272",+7 (011) 891-52-98,Заочная,55,43,91,76,93
Юлиан Валерианович Громов,2021,Математика,70.8,8.5,39.6,"д. Кизел, ш. Буденного, д. 9/7 к. 52, 877338",+73022375598,Заочная,70,94,87,57,46
Флорентин Венедиктович Игнатьев,2022,Математика,67.8,6.7,37.2,"клх Чебаркуль, бул. Линейный, д. 8 стр. 7, 371447",8 717 405 7642,Вечерняя,72,62,60,58,87
Тамара Викторовна Федотова,2023,Биология,68.0,9.6,38.8,"клх Бавлы, пр. Запрудный, д. 27, 800837",+7 (372) 486-0991,Заочная,75,68,99,57,41
Лихачев Варфоломей Эдуардович,2025,Математика,55.0,7.5,31.2,"клх Гусь-Хрустальный, алл. Болотная, д. 900 к. 65, 387773",+7 714 105 4706,Очная,44,59,50,81,41
Галкин Илья Иларионович,2021,Математика,64.8,7.6,36.2,"с. Хасан, ул. Новая, д. 208 стр. 6, 676216",+70537854344,Очная,94,51,59,44,76
Романов Любомир Елисеевич,2022,Математика,73.0,6.9,40.0,"к. Братск, пер. Лесный, д. 8, 553472",+7 (896) 821-3615,Заочная,69,48,73,92,83
Селиверстов Олег Бенедиктович,2025,Математика,72.0,9.5,40.8,"с. Пермь, бул. Шмидта, д. 9/4 к. 470, 852833",+7 652 960 16 18,Заочная,97,61,83,63,56
Герасимов Авксентий Денисович,2025,Физика,82.2,7.7,45.0,"клх Гатчина, алл. Марта 8, д. 2, 047664",+7 070 322 16 15,Заочная,95,98,85,62,71
Любовь Алексеевна Костина,2025,Химия,65.2,8.8,37.0,"п. Калач, наб. М.Горького, д. 3/2 к. 831, 221246",8 249 896 1284,Очная,90,56,53,48,79
Евпраксия Захаровна Костина,2024,Биология,68.8,9.3,39.0,"ст. Новокузнецк, ул. Октября, д. 8 стр. 1/4, 560532",+79500861263,Заочная,64,78,48,93,61
Лаврентий Зиновьевич Наумов,2021,Математика,71.4,8.8,40.1,"к. Вилюйск, пр. Пригородный, д. 8, 735811",8 (526) 575-7823,Очная,43,65,97,68,84
Силантий Егорович Марков,2023,История Беларуси,57.6,9.3,33.4,"с. Юрюзань, наб. Черемуховая, д. 8/7 к. 14, 201651",8 (982) 727-44-04,Очная,76,50,45,57,60
Гуляева Октябрина Вениаминовна,2024,Биология,72.4,8.6,40.5,"клх Люберцы, алл. Морозова, д. 3, 961971",+79374232309,Очная,80,77,73,56,76
Третьякова Евдокия Макаровна,2021,История Беларуси,76.6,6.6,41.6,"ст. Махачкала, пр. Элеваторный, д. 5 стр. 6, 014732",+7 (840) 016-29-16,Очная,97,51,62,92,81
Дарья Степановна Григорьева,2022,Математика,68.6,8.4,38.5,"д. Североуральск, ш. Революционное, д. 112 стр. 9, 425817",+7 951 355 77 96,Вечерняя,66,96,70,45,66
Поликарп Харлампович Сазонов,2021,Биология,73.8,8.3,41.0,"п. Забайкальск, ул. Докучаева, д. 78, 927684",+72591793271,Заочная,51,84,96,92,46
Мечислав Исидорович Лукин,2023,Биология,69.0,7.7,38.4,"г. Пушкинские Горы, алл. Матросова, д. 23, 187701",+7 (619) 364-1145,Вечерняя,56,65,60,67,97
Вероника Никифоровна Корнилова,2024,История Беларуси,71.0,6.3,38.6,"п. Яр-Сале, пр. Комарова, д. 16 к. 2/8, 852933",8 (854) 181-90-55,Вечерняя,41,99,93,82,40
Якушев Мечислав Теймуразович,2024,Биология,71.6,9.3,40.4,"клх Радужный, алл. Ленинградская, д. 7 к. 233, 026218",+7 (389) 773-38-73,Очная,75,90,65,68,60
Артемий Димитриевич Пономарев,2022,История Беларуси,77.8,8.4,43.1,"п. Нерчинск, бул. Звездный, д. 278 стр. 7/2, 679637",8 (500) 974-32-12,Очная,50,75,88,98,78
Крюкова Лидия Юльевна,2021,Математика,81.8,9.7,45.8,"г. Костомукша, алл. Л.Толстого, д. 256, 641065",+7 776 336 24 70,Очная,93,73,94,86,63
Лаврентьев Ярослав Марсович,2021,Химия,76.6,8.2,42.4,"г. Красноуральск, пр. Боровой, д. 932 к. 3/5, 154684",8 401 576 0321,Очная,44,95,72,97,75
Корнилов Георгий Юлианович,2025,Химия,72.2,8.0,40.1,"к. Верхний Уфалей, пер. Гастелло, д. 7 стр. 693, 494756",8 827 090 6671,Вечерняя,58,74,91,82,56
Пестова Глафира Альбертовна,2022,Физика,70.4,7.9,39.2,"к. Вендинга, наб. Свободы, д. 30 стр. 7, 237569",+7 874 945 1398,Вечерняя,84,82,73,48,65
Аполлинарий Эдгарович Егоров,2022,Химия,54.2,8.0,31.1,"п. Шерегеш, пр. Бригадный, д. 6/2 к. 9, 513742",+7 (182) 560-93-24,Вечерняя,48,48,79,56,40
Евфросиния Вадимовна Дьячкова,2023,Химия,76.8,6.3,41.6,"ст. Воскресенск, пр. Севастопольский, д. 7 стр. 32, 399612",82139661333,Вечерняя,82,79,81,64,78
Потап Демьянович Блохин,2024,Биология,84.2,7.1,45.6,"д. Боровск, ул. Войкова, д. 3 стр. 483, 281699",+7 (471) 983-7409,Очная,89,76,83,83,90
Алла Михайловна Шарапова,2024,Физика,68.2,9.2,38.7,"клх Петрозаводск, алл. Рязанская, д. 9 стр. 2, 272597",+7 933 984 2774,Очная,73,51,58,76,83
Князева Евпраксия Григорьевна,2024,Математика,76.6,8.1,42.3,"клх Алдан, ул. Володарского, д. 2 стр. 86, 215647",8 271 732 89 30,Очная,88,56,49,96,94
г-н Исаев Мечислав Антонович,2025,История Беларуси,54.8,8.6,31.7,"с. Троицк (Моск.), ул. Короткая, д. 4/1 стр. 304, 287027",+7 040 676 35 90,Очная,51,55,63,58,47
Орест Евсеевич Киселев,2023,Химия,68.4,9.4,38.9,"клх Славянск-на-Кубани, пер. Островского, д. 172 к. 3/6, 456077",+7 659 665 72 81,Очная,56,62,76,93,55
Карпов Анисим Марсович,2024,Физика,58.0,8.8,33.4,"п. Якша, ш. Светлое, д. 25 стр. 7, 289906",87994571070,Очная,64,57,64,51,54
Любовь Матвеевна Мишина,2023,Биология,77.2,8.8,43.0,"ст. Петропавловск-Камчатский, ул. Короткая, д. 47 стр. 8, 735722",8 377 412 84 45,Заочная,80,84,65,86,71
Дементьева Фёкла Владиславовна,2025,Математика,57.8,7.9,32.8,"ст. Майкоп, алл. Коллективная, д. 1/7, 688606",8 (216) 127-3400,Заочная,46,56,62,65,60
Уваров Олимпий Феодосьевич,2024,Математика,58.2,7.2,32.7,"д. Домодедово, ш. Авиационное, д. 53, 376261",+7 350 878 2266,Очная,46,53,54,92,46
Баранова Майя Рудольфовна,2021,Математика,76.6,9.2,42.9,"п. Сасово, алл. Ягодная, д. 74, 192107",+7 474 567 97 41,Вечерняя,87,47,89,98,62
Осипова Олимпиада Леоновна,2022,История Беларуси,76.4,7.3,41.8,"к. Усть-Катав, бул. Ивановский, д. 851 стр. 74, 697225",+7 050 417 9644,Очная,70,69,91,78,74
Пестова Марина Артемовна,2025,Биология,67.6,7.5,37.6,"к. Галич, бул. Мостовой, д. 7/6 к. 57, 154507",8 575 756 53 68,Заочная,81,78,56,53,70
Горшкова Оксана Игоревна,2023,Математика,76.2,8.8,42.5,"п. Нальчик, бул. Папанина, д. 75 стр. 13, 230157",8 (543) 698-30-21,Очная,83,99,84,73,42
Юлия Леонидовна Бирюкова,2021,Химия,76.6,8.3,42.4,"клх Рыльск, ш. Кузнецкое, д. 694 стр. 477, 715171",8 411 274 57 19,Заочная,79,65,94,62,83
Семенова Алина Архиповна,2023,История Беларуси,71.0,7.3,39.2,"клх Гремячинск (Перм.), наб. Астраханская, д. 97, 922539",+7 (258) 386-36-85,Вечерняя,95,88,43,68,61
Михайлов Панфил Глебович,2023,История Беларуси,69.8,9.5,39.6,"с. Арсеньев, алл. Городская, д. 494, 924827",8 (327) 461-6288,Вечерняя,57,72,55,84,81
Иван Иосипович Шилов,2025,Химия,72.6,6.1,39.3,"г. Вендинга, ул. Васильковая, д. 4 стр. 59, 770717",+7 (247) 466-14-16,Заочная,41,94,74,81,73
Лавр Елисеевич Колесников,2023,Биология,65.2,9.7,37.4,"д. Бронницы, ш. Клубное, д. 5/7, 044070",+7 (539) 460-3711,Вечерняя,94,52,52,57,71
Егоров Станислав Ануфриевич,2022,История Беларуси,84.0,9.1,46.6,"п. Миллерово, бул. Гаражный, д. 29, 031704",8 (895) 070-5629,Заочная,98,78,85,91,68
Корнилов Флорентин Марсович,2023,Биология,78.8,9.5,44.2,"г. Мезень, алл. Социалистическая, д. 512 к. 8, 637553",8 (188) 590-73-68,Очная,68,92,83,96,55
Суханова Агафья Антоновна,2022,Химия,72.8,7.3,40.0,"д. Грозный, пр. О.Кошевого, д. 5/7 к. 1, 319406",+7 (553) 613-62-19,Очная,86,96,49,69,64
Нинель Антоновна Соколова,2025,Физика,60.0,6.4,33.2,"с. Белоярский, бул. Ручейный, д. 58 к. 127, 113247",+7 228 238 1501,Заочная,59,44,40,69,88
Фёкла Альбертовна Новикова,2025,История Беларуси,69.8,8.9,39.4,"с. Старая Русса, ш. Литейное, д. 11, 941242",+7 (925) 104-95-03,Заочная,53,95,69,89,43
Сафонова Надежда Альбертовна,2024,Биология,71.8,10.0,40.9,"г. Великий Устюг, ш. Орловское, д. 9 к. 8, 135610",8 (417) 698-6927,Вечерняя,76,64,87,40,92
Синклитикия Михайловна Киселева,2025,Математика,69.8,6.5,38.2,"с. Великие Луки, пер. Гончарова, д. 97 стр. 42, 413200",87624784839,Вечерняя,48,54,88,96,63
Надежда Семеновна Тарасова,2024,Биология,85.8,8.4,47.1,"клх Ноябрьск, алл. Мелиораторов, д. 5 к. 95, 256592",8 (238) 751-28-78,Вечерняя,98,97,76,76,82
Иннокентий Иосифович Кабанов,2021,История Беларуси,74.2,9.6,41.9,"д. Щельяюр, бул. Коммунальный, д. 6 к. 69, 613134",80438510187,Вечерняя,78,95,85,63,50
Васильева Пелагея Федоровна,2021,Математика,63.4,6.9,35.2,"г. Урай, наб. Ставропольская, д. 873 стр. 5/9, 469932",84219743140,Вечерняя,73,64,46,91,43
Алла Эльдаровна Юдина,2021,Физика,80.4,8.1,44.2,"к. Кудымкар, пр. Менделеева, д. 79, 852714",+7 837 780 2264,Очная,59,68,93,92,90
Красильников Ипполит Трифонович,2024,Физика,73.0,6.1,39.6,"п. Троицк (Моск.), алл. ДОС, д. 7, 312992",+7 482 902 5181,Заочная,49,82,73,96,65
Никифоров Валентин Валерьевич,2025,Биология,64.6,6.2,35.4,"д. Бреды, алл. Ореховая, д. 5 стр. 4/7, 918372",+7 (259) 886-2075,Вечерняя,97,42,95,45,44
Ефимов Кирилл Авдеевич,2025,История Беларуси,71.6,8.4,40.0,"п. Ирбит, ул. Машиностроителей, д. 192 стр. 5, 611752",+7 838 282 0437,Вечерняя,86,62,88,48,74
Горбунов Петр Феофанович,2021,История Беларуси,86.0,8.0,47.0,"с. Звенигород, пер. Южный, д. 3, 833334",+7 (217) 862-8738,Заочная,88,98,81,74,89
